Stop Name,Stop ID,Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guelph Central Station,1600,-,5:45 AM,6:15 AM,6:45 AM,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM
Wellington St. E. at KFC,1601,-,5:45 AM,6:15 AM,6:45 AM,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM
Gordon St. at Water St.,1602,-,5:49 AM,6:19 AM,6:49 AM,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:44 AM,10:04 AM,10:19 AM,10:49 AM,11:19 AM,11:49 AM,12:19 PM,12:49 PM,1:19 PM,1:49 PM,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:44 PM,6:04 PM,6:19 PM,6:49 PM,7:19 PM,7:49 PM,8:19 PM,8:49 PM,9:19 PM,9:49 PM,10:19 PM,10:49 PM,11:19 PM,11:49 PM,12:19 AM
Gordon St. at Forbes Ave.,1603,-,5:49 AM,6:19 AM,6:49 AM,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:44 AM,10:04 AM,10:19 AM,10:49 AM,11:19 AM,11:49 AM,12:19 PM,12:49 PM,1:19 PM,1:49 PM,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:44 PM,6:04 PM,6:19 PM,6:49 PM,7:19 PM,7:49 PM,8:19 PM,8:49 PM,9:19 PM,9:49 PM,10:19 PM,10:49 PM,11:19 PM,11:49 PM,12:19 AM
Gordon St. at Dean Ave.,1604,-,5:49 AM,6:19 AM,6:49 AM,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:44 AM,10:04 AM,10:19 AM,10:49 AM,11:19 AM,11:49 AM,12:19 PM,12:49 PM,1:19 PM,1:49 PM,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:44 PM,6:04 PM,6:19 PM,6:49 PM,7:19 PM,7:49 PM,8:19 PM,8:49 PM,9:19 PM,9:49 PM,10:19 PM,10:49 PM,11:19 PM,11:49 PM,12:19 AM
Gordon St. at College Ave.,1605,-,5:52 AM,6:22 AM,6:52 AM,7:07 AM,7:27 AM,7:47 AM,8:07 AM,8:27 AM,8:47 AM,9:07 AM,9:27 AM,9:47 AM,10:07 AM,10:22 AM,10:52 AM,11:22 AM,11:52 AM,12:22 PM,12:52 PM,1:22 PM,1:52 PM,2:07 PM,2:27 PM,2:47 PM,3:07 PM,3:27 PM,3:47 PM,4:07 PM,4:27 PM,4:47 PM,5:07 PM,5:27 PM,5:47 PM,6:07 PM,6:22 PM,6:52 PM,7:22 PM,7:52 PM,8:22 PM,8:52 PM,9:22 PM,9:52 PM,10:22 PM,10:52 PM,11:22 PM,11:52 PM,12:22 AM
Gordon St. at Stone Rd. W.,1606,-,5:54 AM,6:24 AM,6:54 AM,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:09 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:49 PM,6:09 PM,6:24 PM,6:54 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
Gordon St. at Harvard Rd. ,1607,-,5:54 AM,6:24 AM,6:54 AM,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:09 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:49 PM,6:09 PM,6:24 PM,6:54 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
Gordon St. at Kortright Rd. ,1608,-,5:57 AM,6:27 AM,6:57 AM,7:12 AM,7:32 AM,7:52 AM,8:12 AM,8:32 AM,8:52 AM,9:12 AM,9:32 AM,9:52 AM,10:12 AM,10:27 AM,10:57 AM,11:27 AM,11:57 AM,12:27 PM,12:57 PM,1:27 PM,1:57 PM,2:12 PM,2:32 PM,2:52 PM,3:12 PM,3:32 PM,3:52 PM,4:12 PM,4:32 PM,4:52 PM,5:12 PM,5:32 PM,5:52 PM,6:12 PM,6:27 PM,6:57 PM,7:27 PM,7:57 PM,8:27 PM,8:57 PM,9:27 PM,9:57 PM,10:27 PM,10:57 PM,11:27 PM,11:57 PM,12:27 AM
Gordon St. at Harts Lane,1609,-,5:57 AM,6:27 AM,6:57 AM,7:12 AM,7:32 AM,7:52 AM,8:12 AM,8:32 AM,8:52 AM,9:12 AM,9:32 AM,9:52 AM,10:12 AM,10:27 AM,10:57 AM,11:27 AM,11:57 AM,12:27 PM,12:57 PM,1:27 PM,1:57 PM,2:12 PM,2:32 PM,2:52 PM,3:12 PM,3:32 PM,3:52 PM,4:12 PM,4:32 PM,4:52 PM,5:12 PM,5:32 PM,5:52 PM,6:12 PM,6:27 PM,6:57 PM,7:27 PM,7:57 PM,8:27 PM,8:57 PM,9:27 PM,9:57 PM,10:27 PM,10:57 PM,11:27 PM,11:57 PM,12:27 AM
1155 Gordon St. ,1610,-,5:57 AM,6:27 AM,6:57 AM,7:12 AM,7:32 AM,7:52 AM,8:12 AM,8:32 AM,8:52 AM,9:12 AM,9:32 AM,9:52 AM,10:12 AM,10:27 AM,10:57 AM,11:27 AM,11:57 AM,12:27 PM,12:57 PM,1:27 PM,1:57 PM,2:12 PM,2:32 PM,2:52 PM,3:12 PM,3:32 PM,3:52 PM,4:12 PM,4:32 PM,4:52 PM,5:12 PM,5:32 PM,5:52 PM,6:12 PM,6:27 PM,6:57 PM,7:27 PM,7:57 PM,8:27 PM,8:57 PM,9:27 PM,9:57 PM,10:27 PM,10:57 PM,11:27 PM,11:57 PM,12:27 AM
Gordon St. at Edinburgh Rd. S.,1611,-,5:57 AM,6:27 AM,6:57 AM,7:12 AM,7:32 AM,7:52 AM,8:12 AM,8:32 AM,8:52 AM,9:12 AM,9:32 AM,9:52 AM,10:12 AM,10:27 AM,10:57 AM,11:27 AM,11:57 AM,12:27 PM,12:57 PM,1:27 PM,1:57 PM,2:12 PM,2:32 PM,2:52 PM,3:12 PM,3:32 PM,3:52 PM,4:12 PM,4:32 PM,4:52 PM,5:12 PM,5:32 PM,5:52 PM,6:12 PM,6:27 PM,6:57 PM,7:27 PM,7:57 PM,8:27 PM,8:57 PM,9:27 PM,9:57 PM,10:27 PM,10:57 PM,11:27 PM,11:57 PM,12:27 AM
Gordon St. at Arkell Rd. ,1612,-,6:00 AM,6:30 AM,7:00 AM,7:15 AM,7:35 AM,7:55 AM,8:15 AM,8:35 AM,8:55 AM,9:15 AM,9:35 AM,9:55 AM,10:15 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:15 PM,2:35 PM,2:55 PM,3:15 PM,3:35 PM,3:55 PM,4:15 PM,4:35 PM,4:55 PM,5:15 PM,5:35 PM,5:55 PM,6:15 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM
1417 Gordon St.,1613,-,6:00 AM,6:30 AM,7:00 AM,7:15 AM,7:35 AM,7:55 AM,8:15 AM,8:35 AM,8:55 AM,9:15 AM,9:35 AM,9:55 AM,10:15 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:15 PM,2:35 PM,2:55 PM,3:15 PM,3:35 PM,3:55 PM,4:15 PM,4:35 PM,4:55 PM,5:15 PM,5:35 PM,5:55 PM,6:15 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM
Gordon St. at Lowes Rd. ,1614,-,6:00 AM,6:30 AM,7:00 AM,7:15 AM,7:35 AM,7:55 AM,8:15 AM,8:35 AM,8:55 AM,9:15 AM,9:35 AM,9:55 AM,10:15 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:15 PM,2:35 PM,2:55 PM,3:15 PM,3:35 PM,3:55 PM,4:15 PM,4:35 PM,4:55 PM,5:15 PM,5:35 PM,5:55 PM,6:15 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM
Gordon St. at Clairfields Dr.,1615,-,6:02 AM,6:32 AM,7:02 AM,7:17 AM,7:37 AM,7:57 AM,8:17 AM,8:37 AM,8:57 AM,9:17 AM,9:37 AM,9:57 AM,10:17 AM,10:32 AM,11:02 AM,11:32 AM,12:02 PM,12:32 PM,1:02 PM,1:32 PM,2:02 PM,2:17 PM,2:37 PM,2:57 PM,3:17 PM,3:37 PM,3:57 PM,4:17 PM,4:37 PM,4:57 PM,5:17 PM,5:37 PM,5:57 PM,6:17 PM,6:32 PM,7:02 PM,7:32 PM,8:02 PM,8:32 PM,9:02 PM,9:32 PM,10:02 PM,10:32 PM,11:02 PM,11:32 PM,12:02 AM,12:32 AM
25 Clairfields Dr. W.,1616,-,6:02 AM,6:32 AM,7:02 AM,7:17 AM,7:37 AM,7:57 AM,8:17 AM,8:37 AM,8:57 AM,9:17 AM,9:37 AM,9:57 AM,10:17 AM,10:32 AM,11:02 AM,11:32 AM,12:02 PM,12:32 PM,1:02 PM,1:32 PM,2:02 PM,2:17 PM,2:37 PM,2:57 PM,3:17 PM,3:37 PM,3:57 PM,4:17 PM,4:37 PM,4:57 PM,5:17 PM,5:37 PM,5:57 PM,6:17 PM,6:32 PM,7:02 PM,7:32 PM,8:02 PM,8:32 PM,9:02 PM,9:32 PM,10:02 PM,10:32 PM,11:02 PM,11:32 PM,12:02 AM,12:32 AM
Opposite 116 Clairfields Dr. W.,1617,-,6:02 AM,6:32 AM,7:02 AM,7:17 AM,7:37 AM,7:57 AM,8:17 AM,8:37 AM,8:57 AM,9:17 AM,9:37 AM,9:57 AM,10:17 AM,10:32 AM,11:02 AM,11:32 AM,12:02 PM,12:32 PM,1:02 PM,1:32 PM,2:02 PM,2:17 PM,2:37 PM,2:57 PM,3:17 PM,3:37 PM,3:57 PM,4:17 PM,4:37 PM,4:57 PM,5:17 PM,5:37 PM,5:57 PM,6:17 PM,6:32 PM,7:02 PM,7:32 PM,8:02 PM,8:32 PM,9:02 PM,9:32 PM,10:02 PM,10:32 PM,11:02 PM,11:32 PM,12:02 AM,12:32 AM
Clairfields Dr. W. at Boulder Cres.,1618,-,6:06 AM,6:36 AM,7:06 AM,7:21 AM,7:41 AM,8:01 AM,8:21 AM,8:41 AM,9:01 AM,9:21 AM,9:41 AM,10:01 AM,10:21 AM,10:36 AM,11:06 AM,11:36 AM,12:06 PM,12:36 PM,1:06 PM,1:36 PM,2:06 PM,2:21 PM,2:41 PM,3:01 PM,3:21 PM,3:41 PM,4:01 PM,4:21 PM,4:41 PM,5:01 PM,5:21 PM,5:41 PM,6:01 PM,6:21 PM,6:36 PM,7:06 PM,7:36 PM,8:06 PM,8:36 PM,9:06 PM,9:36 PM,10:06 PM,10:36 PM,11:06 PM,11:36 PM,12:06 AM,12:36 AM
