Stop Name,NextBus ID,,,,Peak Service,,,,,,,,,,,,,,,,,,Peak Service,,,,,,,,,,,,,,,,,,,,,,,,,,
University Centre,150, - ,6:00 AM,6:30 AM, - ,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM, - ,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM*
East Ring Rd. at Arboretum Rd.,151, - ,6:00 AM,6:30 AM, - ,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM, - ,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM*
East Ring Rd. at Dundas Lane,152, - ,6:04 AM,6:34 AM, - ,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:44 AM,10:04 AM,10:34 AM,11:04 AM,11:34 AM,12:04 PM,12:34 PM,1:04 PM,1:34 PM, - ,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:44 PM,6:04 PM,6:34 PM,7:04 PM,7:34 PM,8:04 PM,8:34 PM,9:04 PM,9:34 PM,10:04 PM,10:34 PM,11:04 PM,11:34 PM,12:04 AM,12:34 AM*
College Ave. E. at MacDonald St.,153, - ,6:04 AM,6:34 AM, - ,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:44 AM,10:04 AM,10:34 AM,11:04 AM,11:34 AM,12:04 PM,12:34 PM,1:04 PM,1:34 PM, - ,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:44 PM,6:04 PM,6:34 PM,7:04 PM,7:34 PM,8:04 PM,8:34 PM,9:04 PM,9:34 PM,10:04 PM,10:34 PM,11:04 PM,11:34 PM,12:04 AM,12:34 AM*
College Ave. W. at Caledonia St.,154, - ,6:04 AM,6:34 AM, - ,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:44 AM,10:04 AM,10:34 AM,11:04 AM,11:34 AM,12:04 PM,12:34 PM,1:04 PM,1:34 PM, - ,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:44 PM,6:04 PM,6:34 PM,7:04 PM,7:34 PM,8:04 PM,8:34 PM,9:04 PM,9:34 PM,10:04 PM,10:34 PM,11:04 PM,11:34 PM,12:04 AM,12:34 AM*
College Ave. W. at Edinburgh Rd.,155, - ,6:09 AM,6:39 AM, - ,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:09 AM,10:39 AM,11:09 AM,11:39 AM,12:09 PM,12:39 PM,1:09 PM,1:39 PM, - ,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:49 PM,6:09 PM,6:39 PM,7:09 PM,7:39 PM,8:09 PM,8:39 PM,9:09 PM,9:39 PM,10:09 PM,10:39 PM,11:09 PM,11:39 PM,12:09 AM,12:39 AM*
College Ave. W. at Centennial,156, - ,6:09 AM,6:39 AM, - ,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:09 AM,10:39 AM,11:09 AM,11:39 AM,12:09 PM,12:39 PM,1:09 PM,1:39 PM, - ,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:49 PM,6:09 PM,6:39 PM,7:09 PM,7:39 PM,8:09 PM,8:39 PM,9:09 PM,9:39 PM,10:09 PM,10:39 PM,11:09 PM,11:39 PM,12:09 AM,12:39 AM*
129 Janefield Ave.,157, - ,6:09 AM,6:39 AM, - ,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:09 AM,10:39 AM,11:09 AM,11:39 AM,12:09 PM,12:39 PM,1:09 PM,1:39 PM, - ,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:49 PM,6:09 PM,6:39 PM,7:09 PM,7:39 PM,8:09 PM,8:39 PM,9:09 PM,9:39 PM,10:09 PM,10:39 PM,11:09 PM,11:39 PM,12:09 AM,12:39 AM*
Janefield Ave. at Scottsdale Dr.,158, - ,6:13 AM,6:43 AM, - ,7:13 AM,7:33 AM,7:53 AM,8:13 AM,8:33 AM,8:53 AM,9:13 AM,9:33 AM,9:53 AM,10:13 AM,10:43 AM,11:13 AM,11:43 AM,12:13 PM,12:43 PM,1:13 PM,1:43 PM, - ,2:13 PM,2:33 PM,2:53 PM,3:13 PM,3:33 PM,3:53 PM,4:13 PM,4:33 PM,4:53 PM,5:13 PM,5:33 PM,5:53 PM,6:13 PM,6:43 PM,7:13 PM,7:43 PM,8:13 PM,8:43 PM,9:13 PM,9:43 PM,10:13 PM,10:43 PM,11:13 PM,11:43 PM,12:13 AM,12:43 AM*
Stone Rd. W. at Scottsdale Dr. ,159, - ,6:13 AM,6:43 AM, - ,7:13 AM,7:33 AM,7:53 AM,8:13 AM,8:33 AM,8:53 AM,9:13 AM,9:33 AM,9:53 AM,10:13 AM,10:43 AM,11:13 AM,11:43 AM,12:13 PM,12:43 PM,1:13 PM,1:43 PM, - ,2:13 PM,2:33 PM,2:53 PM,3:13 PM,3:33 PM,3:53 PM,4:13 PM,4:33 PM,4:53 PM,5:13 PM,5:33 PM,5:53 PM,6:13 PM,6:43 PM,7:13 PM,7:43 PM,8:13 PM,8:43 PM,9:13 PM,9:43 PM,10:13 PM,10:43 PM,11:13 PM,11:43 PM,12:13 AM,12:43 AM*
372 Stone Rd. W.,160, - ,6:13 AM,6:43 AM, - ,7:13 AM,7:33 AM,7:53 AM,8:13 AM,8:33 AM,8:53 AM,9:13 AM,9:33 AM,9:53 AM,10:13 AM,10:43 AM,11:13 AM,11:43 AM,12:13 PM,12:43 PM,1:13 PM,1:43 PM, - ,2:13 PM,2:33 PM,2:53 PM,3:13 PM,3:33 PM,3:53 PM,4:13 PM,4:33 PM,4:53 PM,5:13 PM,5:33 PM,5:53 PM,6:13 PM,6:43 PM,7:13 PM,7:43 PM,8:13 PM,8:43 PM,9:13 PM,9:43 PM,10:13 PM,10:43 PM,11:13 PM,11:43 PM,12:13 AM,12:43 AM*
292 Stone Rd. W.,161, - ,6:13 AM,6:43 AM, - ,7:13 AM,7:33 AM,7:53 AM,8:13 AM,8:33 AM,8:53 AM,9:13 AM,9:33 AM,9:53 AM,10:13 AM,10:43 AM,11:13 AM,11:43 AM,12:13 PM,12:43 PM,1:13 PM,1:43 PM, - ,2:13 PM,2:33 PM,2:53 PM,3:13 PM,3:33 PM,3:53 PM,4:13 PM,4:33 PM,4:53 PM,5:13 PM,5:33 PM,5:53 PM,6:13 PM,6:43 PM,7:13 PM,7:43 PM,8:13 PM,8:43 PM,9:13 PM,9:43 PM,10:13 PM,10:43 PM,11:13 PM,11:43 PM,12:13 AM,12:43 AM*
583 Edinburgh Rd. S.,162,5:47 AM,6:17 AM,6:47 AM,7:04 AM,7:19 AM,7:39 AM,7:59 AM,8:19 AM,8:39 AM,8:59 AM,9:19 AM,9:39 AM,9:59 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:04 PM,2:19 PM,2:39 PM,2:59 PM,3:19 PM,3:39 PM,3:59 PM,4:19 PM,4:39 PM,4:59 PM,5:19 PM,5:39 PM,5:59 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM,12:47 AM*
685 Edinburgh Rd. S.,163,5:47 AM,6:17 AM,6:47 AM,7:04 AM,7:19 AM,7:39 AM,7:59 AM,8:19 AM,8:39 AM,8:59 AM,9:19 AM,9:39 AM,9:59 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:04 PM,2:19 PM,2:39 PM,2:59 PM,3:19 PM,3:39 PM,3:59 PM,4:19 PM,4:39 PM,4:59 PM,5:19 PM,5:39 PM,5:59 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM, - 
777 Edinburgh Rd. S.,164,5:47 AM,6:17 AM,6:47 AM,7:04 AM,7:19 AM,7:39 AM,7:59 AM,8:19 AM,8:39 AM,8:59 AM,9:19 AM,9:39 AM,9:59 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:04 PM,2:19 PM,2:39 PM,2:59 PM,3:19 PM,3:39 PM,3:59 PM,4:19 PM,4:39 PM,4:59 PM,5:19 PM,5:39 PM,5:59 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM, - 
Edinburgh  Rd. S. at Southcreek Trail,165,5:47 AM,6:17 AM,6:47 AM,7:04 AM,7:19 AM,7:39 AM,7:59 AM,8:19 AM,8:39 AM,8:59 AM,9:19 AM,9:39 AM,9:59 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:04 PM,2:19 PM,2:39 PM,2:59 PM,3:19 PM,3:39 PM,3:59 PM,4:19 PM,4:39 PM,4:59 PM,5:19 PM,5:39 PM,5:59 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM, - 
Edinburgh Rd. S. at Rickson Ave.,166,5:47 AM,6:17 AM,6:47 AM,7:04 AM,7:19 AM,7:39 AM,7:59 AM,8:19 AM,8:39 AM,8:59 AM,9:19 AM,9:39 AM,9:59 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:04 PM,2:19 PM,2:39 PM,2:59 PM,3:19 PM,3:39 PM,3:59 PM,4:19 PM,4:39 PM,4:59 PM,5:19 PM,5:39 PM,5:59 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM, - 
Edinburgh Rd. S. at Carrington Dr.,167,5:47 AM,6:17 AM,6:47 AM,7:04 AM,7:19 AM,7:39 AM,7:59 AM,8:19 AM,8:39 AM,8:59 AM,9:19 AM,9:39 AM,9:59 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:04 PM,2:19 PM,2:39 PM,2:59 PM,3:19 PM,3:39 PM,3:59 PM,4:19 PM,4:39 PM,4:59 PM,5:19 PM,5:39 PM,5:59 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM, - 
Gordon St. at Valley Rd.,168,5:51 AM,6:21 AM,6:51 AM,7:08 AM,7:25 AM,7:45 AM,8:05 AM,8:25 AM,8:45 AM,9:05 AM,9:25 AM,9:45 AM,10:05 AM,10:21 AM,10:51 AM,11:21 AM,11:51 AM,12:21 PM,12:51 PM,1:21 PM,1:51 PM,2:05 PM,2:25 PM,2:45 PM,3:05 PM,3:25 PM,3:45 PM,4:05 PM,4:25 PM,4:45 PM,5:05 PM,5:25 PM,5:45 PM,6:05 PM,6:21 PM,6:51 PM,7:21 PM,7:51 PM,8:21 PM,8:51 PM,9:21 PM,9:51 PM,10:21 PM,10:51 PM,11:21 PM,11:51 PM,12:21 AM, - 
Gordon St. at Landsdown Dr.,169,5:51 AM,6:21 AM,6:51 AM,7:08 AM,7:25 AM,7:45 AM,8:05 AM,8:25 AM,8:45 AM,9:05 AM,9:25 AM,9:45 AM,10:05 AM,10:21 AM,10:51 AM,11:21 AM,11:51 AM,12:21 PM,12:51 PM,1:21 PM,1:51 PM,2:05 PM,2:25 PM,2:45 PM,3:05 PM,3:25 PM,3:45 PM,4:05 PM,4:25 PM,4:45 PM,5:05 PM,5:25 PM,5:45 PM,6:05 PM,6:21 PM,6:51 PM,7:21 PM,7:51 PM,8:21 PM,8:51 PM,9:21 PM,9:51 PM,10:21 PM,10:51 PM,11:21 PM,11:51 PM,12:21 AM, - 
