Stop Name,NextBus ID,,,,Peak Service,,,,,,,,,,,,,,,,,,Peak Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guelph Central Station,500, - ,5:45 AM,6:15 AM, - ,6:45 AM,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM, - ,1:45 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM
Gordon St. at Nottingham St.,501, - ,5:45 AM,6:15 AM, - ,6:45 AM,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM, - ,1:45 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM
Gordon St. at Wellington St.,502, - ,5:45 AM,6:15 AM, - ,6:45 AM,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM, - ,1:45 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM
Gordon St. at Water St.,503, - ,5:50 AM,6:20 AM, - ,6:50 AM,7:06 AM,7:26 AM,7:46 AM,8:06 AM,8:26 AM,8:46 AM,9:06 AM,9:26 AM,9:46 AM,10:05 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM, - ,1:50 PM,2:06 PM,2:26 PM,2:46 PM,3:06 PM,3:26 PM,3:46 PM,4:06 PM,4:26 PM,4:46 PM,5:06 PM,5:26 PM,5:45 PM,6:05 PM,6:20 PM,6:50 PM,7:20 PM,7:50 PM,8:20 PM,8:50 PM,9:20 PM,9:50 PM,10:20 PM,10:50 PM,11:20 PM,11:50 PM,12:20 AM
Gordon St. at Forbes Ave.,504, - ,5:50 AM,6:20 AM, - ,6:50 AM,7:06 AM,7:26 AM,7:46 AM,8:06 AM,8:26 AM,8:46 AM,9:06 AM,9:26 AM,9:46 AM,10:05 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM, - ,1:50 PM,2:06 PM,2:26 PM,2:46 PM,3:06 PM,3:26 PM,3:46 PM,4:06 PM,4:26 PM,4:46 PM,5:06 PM,5:26 PM,5:45 PM,6:05 PM,6:20 PM,6:50 PM,7:20 PM,7:50 PM,8:20 PM,8:50 PM,9:20 PM,9:50 PM,10:20 PM,10:50 PM,11:20 PM,11:50 PM,12:20 AM
Gordon St. at Dean Ave.,505, - ,5:50 AM,6:20 AM, - ,6:50 AM,7:06 AM,7:26 AM,7:46 AM,8:06 AM,8:26 AM,8:46 AM,9:06 AM,9:26 AM,9:46 AM,10:05 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM, - ,1:50 PM,2:06 PM,2:26 PM,2:46 PM,3:06 PM,3:26 PM,3:46 PM,4:06 PM,4:26 PM,4:46 PM,5:06 PM,5:26 PM,5:45 PM,6:05 PM,6:20 PM,6:50 PM,7:20 PM,7:50 PM,8:20 PM,8:50 PM,9:20 PM,9:50 PM,10:20 PM,10:50 PM,11:20 PM,11:50 PM,12:20 AM
Gordon St. at College Ave.,506, - ,5:52 AM,6:22 AM, - ,6:51 AM,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:07 AM,10:22 AM,10:52 AM,11:22 AM,11:52 AM,12:22 PM,12:52 PM,1:22 PM, - ,1:51 PM,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:50 PM,6:07 PM,6:22 PM,6:52 PM,7:22 PM,7:52 PM,8:22 PM,8:52 PM,9:22 PM,9:52 PM,10:22 PM,10:52 PM,11:22 PM,11:52 PM,12:22 AM
University Centre,507, - ,6:00 AM,6:30 AM, - ,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:20 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM, - ,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:20 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM
Gordon St. at Stone Rd. W.,508, - ,6:00 AM,6:30 AM, - ,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:20 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM, - ,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:20 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM
Gordon St. at Harvard Rd. ,509, - ,6:00 AM,6:30 AM, - ,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:20 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM, - ,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:20 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM
Gordon St. at Kortright Rd. ,510, - ,6:03 AM,6:33 AM, - ,7:04 AM,7:25 AM,7:45 AM,8:05 AM,8:25 AM,8:45 AM,9:05 AM,9:25 AM,9:45 AM,10:03 AM,10:23 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM, - ,2:04 PM,2:25 PM,2:45 PM,3:05 PM,3:25 PM,3:45 PM,4:05 PM,4:25 PM,4:45 PM,5:05 PM,5:25 PM,5:45 PM,6:03 PM,6:23 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM,10:33 PM,11:03 PM,11:33 PM,12:03 AM,12:33 AM
