Stop Name,NexBus ID,Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Centre Departure,5600,-,8:15 AM,8:45 AM,9:15 AM,9:45 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:15 PM,2:45 PM,3:15 PM,3:45 PM,4:15 PM,4:45 PM,5:15 PM,5:45 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM
Stone Rd. E. at Victoria Rd. S.,5601,-,8:10 AM,8:30 AM,8:50 AM,9:10 AM,9:30 AM,9:50 AM,10:10 AM,10:30 AM,10:50 AM,11:10 AM,11:30 AM,11:50 AM,12:10 PM,12:30 PM,12:50 PM,1:10 PM,1:30 PM,1:50 PM,2:10 PM,2:30 PM,2:50 PM,3:10 PM,3:30 PM,3:50 PM,4:10 PM,4:30 PM,4:50 PM,5:10 PM
1035 Victoria Rd. ,5602,-,8:22 AM,8:52 AM,9:22 AM,9:52 AM,10:22 AM,10:52 AM,11:22 AM,11:52 AM,12:22 PM,12:52 PM,1:22 PM,1:52 PM,2:22 PM,2:52 PM,3:22 PM,3:52 PM,4:22 PM,4:52 PM,5:22 PM,5:52 PM,6:22 PM,6:52 PM,7:22 PM,7:52 PM,8:22 PM,8:52 PM,9:22 PM,9:52 PM
Victoria Rd. S. at Arkell Rd.,5617,7:55 AM,8:25 AM,8:55 AM,9:25 AM,9:55 AM,10:25 AM,10:55 AM,11:25 AM,11:55 AM,12:25 PM,12:55 PM,1:25 PM,1:55 PM,2:25 PM,2:55 PM,3:25 PM,3:55 PM,4:25 PM,4:55 PM,5:25 PM,5:55 PM,6:25 PM,6:55 PM,7:25 PM,7:55 PM,8:25 PM,8:55 PM,9:25 PM,9:55 PM
Victoria Rd. S. at Summerfield Dr.,5603,7:55 AM,8:25 AM,8:55 AM,9:25 AM,9:55 AM,10:25 AM,10:55 AM,11:25 AM,11:55 AM,12:25 PM,12:55 PM,1:25 PM,1:55 PM,2:25 PM,2:55 PM,3:25 PM,3:55 PM,4:25 PM,4:55 PM,5:25 PM,5:55 PM,6:25 PM,6:55 PM,7:25 PM,7:55 PM,8:25 PM,8:55 PM,9:25 PM,9:55 PM
Victoria Rd. S at Katemore Dr.,5618,7:55 AM,8:25 AM,8:55 AM,9:25 AM,9:55 AM,10:25 AM,10:55 AM,11:25 AM,11:55 AM,12:25 PM,12:55 PM,1:25 PM,1:55 PM,2:25 PM,2:55 PM,3:25 PM,3:55 PM,4:25 PM,4:55 PM,5:25 PM,5:55 PM,6:25 PM,6:55 PM,7:25 PM,7:55 PM,8:25 PM,8:55 PM,9:25 PM,9:55 PM
Frederick Dr. at Waterford Dr. ,5604,7:56 AM,8:26 AM,8:56 AM,9:26 AM,9:56 AM,10:26 AM,10:56 AM,11:26 AM,11:56 AM,12:26 PM,12:56 PM,1:26 PM,1:56 PM,2:26 PM,2:56 PM,3:26 PM,3:56 PM,4:26 PM,4:56 PM,5:26 PM,5:56 PM,6:26 PM,6:56 PM,7:26 PM,7:56 PM,8:26 PM,8:56 PM,9:26 PM,9:56 PM
264 Colonial Dr. ,5605,7:56 AM,8:26 AM,8:56 AM,9:26 AM,9:56 AM,10:26 AM,10:56 AM,11:26 AM,11:56 AM,12:26 PM,12:56 PM,1:26 PM,1:56 PM,2:26 PM,2:56 PM,3:26 PM,3:56 PM,4:26 PM,4:56 PM,5:26 PM,5:56 PM,6:26 PM,6:56 PM,7:26 PM,7:56 PM,8:26 PM,8:56 PM,9:26 PM,9:56 PM
Colonial Dr. north of Marsh Cr. ,5606,7:56 AM,8:26 AM,8:56 AM,9:26 AM,9:56 AM,10:26 AM,10:56 AM,11:26 AM,11:56 AM,12:26 PM,12:56 PM,1:26 PM,1:56 PM,2:26 PM,2:56 PM,3:26 PM,3:56 PM,4:26 PM,4:56 PM,5:26 PM,5:56 PM,6:26 PM,6:56 PM,7:26 PM,7:56 PM,8:26 PM,8:56 PM,9:26 PM,9:56 PM
Colonial Dr. north of Bard Bv.,5607,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM
Gordon St. at Arkell Rd. ,5608,8:03 AM,8:33 AM,9:03 AM,9:33 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM,2:03 PM,2:33 PM,3:03 PM,3:33 PM,4:03 PM,4:33 PM,5:03 PM,5:33 PM,6:03 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM
Gordon St. at Valley Dr. ,5609,8:03 AM,8:33 AM,9:03 AM,9:33 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM,2:03 PM,2:33 PM,3:03 PM,3:33 PM,4:03 PM,4:33 PM,5:03 PM,5:33 PM,6:03 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM
Gordon St. at Landsdown Dr.,5610,8:03 AM,8:33 AM,9:03 AM,9:33 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM,2:03 PM,2:33 PM,3:03 PM,3:33 PM,4:03 PM,4:33 PM,5:03 PM,5:33 PM,6:03 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM
Gordon St. at Harts Lane,5611,8:03 AM,8:33 AM,9:03 AM,9:33 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM,2:03 PM,2:33 PM,3:03 PM,3:33 PM,4:03 PM,4:33 PM,5:03 PM,5:33 PM,6:03 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM
1030 Gordon St.,5612,8:03 AM,8:33 AM,9:03 AM,9:33 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM,2:03 PM,2:33 PM,3:03 PM,3:33 PM,4:03 PM,4:33 PM,5:03 PM,5:33 PM,6:03 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM
Gordon St. at Kortright Rd. ,5613,8:06 AM,8:36 AM,9:06 AM,9:36 AM,10:06 AM,10:36 AM,11:06 AM,11:36 AM,12:06 PM,12:36 PM,1:06 PM,1:36 PM,2:06 PM,2:36 PM,3:06 PM,3:36 PM,4:06 PM,4:36 PM,5:06 PM,5:36 PM,6:06 PM,6:36 PM,7:06 PM,7:36 PM,8:06 PM,8:36 PM,9:06 PM,9:36 PM,10:06 PM
Gordon St. at Hands Dr.,5614,8:06 AM,8:36 AM,9:06 AM,9:36 AM,10:06 AM,10:36 AM,11:06 AM,11:36 AM,12:06 PM,12:36 PM,1:06 PM,1:36 PM,2:06 PM,2:36 PM,3:06 PM,3:36 PM,4:06 PM,4:36 PM,5:06 PM,5:36 PM,6:06 PM,6:36 PM,7:06 PM,7:36 PM,8:06 PM,8:36 PM,9:06 PM,9:36 PM,10:06 PM
Gordon St. at Monticello Cres. ,5615,8:06 AM,8:36 AM,9:06 AM,9:36 AM,10:06 AM,10:36 AM,11:06 AM,11:36 AM,12:06 PM,12:36 PM,1:06 PM,1:36 PM,2:06 PM,2:36 PM,3:06 PM,3:36 PM,4:06 PM,4:36 PM,5:06 PM,5:36 PM,6:06 PM,6:36 PM,7:06 PM,7:36 PM,8:06 PM,8:36 PM,9:06 PM,9:36 PM,10:06 PM
University Centre Arrival,5616,8:09 AM,8:39 AM,9:09 AM,9:39 AM,10:09 AM,10:39 AM,11:09 AM,11:39 AM,12:09 PM,12:39 PM,1:09 PM,1:39 PM,2:09 PM,2:39 PM,3:09 PM,3:39 PM,4:09 PM,4:39 PM,5:09 PM,5:39 PM,6:09 PM,6:39 PM,7:09 PM,7:39 PM,8:09 PM,8:39 PM,9:09 PM,9:39 PM,10:09 PM
