Stop Name,NexBus ID,Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Centre,5700,-,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:20 AM,10:40 AM,11:00 AM,11:20 AM,11:40 AM,12:00 PM,12:20 PM,12:40 PM,1:00 PM,1:20 PM,1:40 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:20 PM,6:40 PM,7:00 PM,7:20 PM,7:40 PM,8:00 PM,8:20 PM,8:40 PM,9:00 PM,9:20 PM,9:40 PM,10:00 PM,10:20 PM
Gordon St. at Stone Rd. W. ,5701,-,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:20 AM,10:40 AM,11:00 AM,11:20 AM,11:40 AM,12:00 PM,12:20 PM,12:40 PM,1:00 PM,1:20 PM,1:40 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:20 PM,6:40 PM,7:00 PM,7:20 PM,7:40 PM,8:00 PM,8:20 PM,8:40 PM,9:00 PM,9:20 PM,9:40 PM,10:00 PM,10:20 PM
Gordon St. at Harvard Rd.,5702,-,8:02 AM,8:22 AM,8:42 AM,9:02 AM,9:22 AM,9:42 AM,10:02 AM,10:22 AM,10:42 AM,11:02 AM,11:22 AM,11:42 AM,12:02 PM,12:22 PM,12:42 PM,1:02 PM,1:22 PM,1:42 PM,2:02 PM,2:22 PM,2:42 PM,3:02 PM,3:22 PM,3:42 PM,4:02 PM,4:22 PM,4:42 PM,5:02 PM,5:22 PM,5:42 PM,6:02 PM,6:22 PM,6:42 PM,7:02 PM,7:22 PM,7:42 PM,8:02 PM,8:22 PM,8:42 PM,9:02 PM,9:22 PM,9:42 PM,10:02 PM,10:22 PM
Harvard Rd. at Shakespeare Arms,5703,-,8:02 AM,8:22 AM,8:42 AM,9:02 AM,9:22 AM,9:42 AM,10:02 AM,10:22 AM,10:42 AM,11:02 AM,11:22 AM,11:42 AM,12:02 PM,12:22 PM,12:42 PM,1:02 PM,1:22 PM,1:42 PM,2:02 PM,2:22 PM,2:42 PM,3:02 PM,3:22 PM,3:42 PM,4:02 PM,4:22 PM,4:42 PM,5:02 PM,5:22 PM,5:42 PM,6:02 PM,6:22 PM,6:42 PM,7:02 PM,7:22 PM,7:42 PM,8:02 PM,8:22 PM,8:42 PM,9:02 PM,9:22 PM,9:42 PM,10:02 PM,10:22 PM
Harvard Rd. at Princeton Pl.,5704,-,8:02 AM,8:22 AM,8:42 AM,9:02 AM,9:22 AM,9:42 AM,10:02 AM,10:22 AM,10:42 AM,11:02 AM,11:22 AM,11:42 AM,12:02 PM,12:22 PM,12:42 PM,1:02 PM,1:22 PM,1:42 PM,2:02 PM,2:22 PM,2:42 PM,3:02 PM,3:22 PM,3:42 PM,4:02 PM,4:22 PM,4:42 PM,5:02 PM,5:22 PM,5:42 PM,6:02 PM,6:22 PM,6:42 PM,7:02 PM,7:22 PM,7:42 PM,8:02 PM,8:22 PM,8:42 PM,9:02 PM,9:22 PM,9:42 PM,10:02 PM,10:22 PM
Harvard Rd. at Youngman Dr. ,5705,7:45 AM,8:05 AM,8:25 AM,8:45 AM,9:05 AM,9:25 AM,9:45 AM,10:05 AM,10:25 AM,10:45 AM,11:05 AM,11:25 AM,11:45 AM,12:05 PM,12:25 PM,12:45 PM,1:05 PM,1:25 PM,1:45 PM,2:05 PM,2:25 PM,2:45 PM,3:05 PM,3:25 PM,3:45 PM,4:05 PM,4:25 PM,4:45 PM,5:05 PM,5:25 PM,5:45 PM,6:05 PM,6:25 PM,6:45 PM,7:05 PM,7:25 PM,7:45 PM,8:05 PM,8:25 PM,8:45 PM,9:05 PM,9:25 PM,9:45 PM,10:05 PM,10:25 PM
Ironwood Rd. at Reid Crt.,5706,7:48 AM,8:08 AM,8:28 AM,8:48 AM,9:08 AM,9:28 AM,9:48 AM,10:08 AM,10:28 AM,10:48 AM,11:08 AM,11:28 AM,11:48 AM,12:08 PM,12:28 PM,12:48 PM,1:08 PM,1:28 PM,1:48 PM,2:08 PM,2:28 PM,2:48 PM,3:08 PM,3:28 PM,3:48 PM,4:08 PM,4:28 PM,4:48 PM,5:08 PM,5:28 PM,5:48 PM,6:08 PM,6:28 PM,6:48 PM,7:08 PM,7:28 PM,7:48 PM,8:08 PM,8:28 PM,8:48 PM,9:08 PM,9:28 PM,9:48 PM,10:08 PM,10:28 PM
711 Scottsdale Dr.,5707,7:48 AM,8:08 AM,8:28 AM,8:48 AM,9:08 AM,9:28 AM,9:48 AM,10:08 AM,10:28 AM,10:48 AM,11:08 AM,11:28 AM,11:48 AM,12:08 PM,12:28 PM,12:48 PM,1:08 PM,1:28 PM,1:48 PM,2:08 PM,2:28 PM,2:48 PM,3:08 PM,3:28 PM,3:48 PM,4:08 PM,4:28 PM,4:48 PM,5:08 PM,5:28 PM,5:48 PM,6:08 PM,6:28 PM,6:48 PM,7:08 PM,7:28 PM,7:48 PM,8:08 PM,8:28 PM,8:48 PM,9:08 PM,9:28 PM,9:48 PM,10:08 PM,10:28 PM
632 Scottsdale Dr.,5708,7:48 AM,8:08 AM,8:28 AM,8:48 AM,9:08 AM,9:28 AM,9:48 AM,10:08 AM,10:28 AM,10:48 AM,11:08 AM,11:28 AM,11:48 AM,12:08 PM,12:28 PM,12:48 PM,1:08 PM,1:28 PM,1:48 PM,2:08 PM,2:28 PM,2:48 PM,3:08 PM,3:28 PM,3:48 PM,4:08 PM,4:28 PM,4:48 PM,5:08 PM,5:28 PM,5:48 PM,6:08 PM,6:28 PM,6:48 PM,7:08 PM,7:28 PM,7:48 PM,8:08 PM,8:28 PM,8:48 PM,9:08 PM,9:28 PM,9:48 PM,10:08 PM,10:28 PM
Scottsdale Dr. at Stone Rd. W.,5709,7:50 AM,8:10 AM,8:30 AM,8:50 AM,9:10 AM,9:30 AM,9:50 AM,10:10 AM,10:30 AM,10:50 AM,11:10 AM,11:30 AM,11:50 AM,12:10 PM,12:30 PM,12:50 PM,1:10 PM,1:30 PM,1:50 PM,2:10 PM,2:30 PM,2:50 PM,3:10 PM,3:30 PM,3:50 PM,4:10 PM,4:30 PM,4:50 PM,5:10 PM,5:30 PM,5:50 PM,6:10 PM,6:30 PM,6:50 PM,7:10 PM,7:30 PM,7:50 PM,8:10 PM,8:30 PM,8:50 PM,9:10 PM,9:30 PM,9:50 PM,10:10 PM,10:30 PM
