stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
100,University Centre,43.529524,-80.224506,1
101,Gordon St. at Stone Rd. W.,43.52626945,-80.22415709,2
102,Gordon St. at Harvard Rd.,43.52543939,-80.22119936,1
103,Gordon St. at Kortright Rd.,43.52231132,-80.21336661,2
104,Gordon St. at Harts Lane,43.51953569,-80.2077554,1
105,1155 Gordon St.,43.51812087,-80.20568389,1
106,Gordon St. at Edinburgh Rd. S.,43.51656066,-80.20354457,1
107,Edinburgh Rd. S. at Carrington Dr.,43.51363307,-80.2067336,1
108,Edinburgh Rd. S. at Rickson Ave.,43.51160739,-80.20942402,2
109,Edinburgh Rd. S. at Ginger Crt.,43.51109474,-80.21358161,1
110,Edinburgh Rd. S. at Rogers Rd.,43.51261601,-80.21863199,1
111,Edinburgh Rd. S. at Koch Dr.,43.51611134,-80.22598458,1
112,Edinburgh Rd. S. at Laurelwood Crt.,43.51753238,-80.23049907,1
113,Stone Rd. W. at Stone Road Mall,43.5174938,-80.23717685,1
114,Stone Rd.W. at Scottsdale Dr.,43.51588914,-80.23936189,1
115,181 Janefield Ave.,43.51752311,-80.2448343,1
116,53 Janefield Ave.,43.51902721,-80.24693715,2
117,264 College Ave. W.,43.5220061,-80.24614584,1
118,College Ave. W. at Meadowcroft,43.52428096,-80.24304162,1
119,50 College Ave. W.,43.52963393,-80.23577251,1
120,College Ave. E. at MacDonald St.,43.5335313,-80.23048298,1
121,East Ring Rd. at Dundas Lane,43.53504997,-80.22489431,1
122,East Ring Rd. at Arboretum Rd. ,43.53324007,-80.2223514,1
123,University Centre Arrival,43.52975023,-80.22473879,1
150,University Centre,43.529524,-80.224506,1
151,East Ring Rd. at Arboretum Rd.,43.533414,-80.222235,1
152,East Ring Rd. at Dundas Lane,43.535071,-80.224477,1
153,College Ave. E. at MacDonald St.,43.534115,-80.229942,1
154,College Ave. W. at Caledonia St.,43.529727,-80.235897,1
155,College Ave. W. at Edinburgh Rd.,43.525349,-80.241837,2
156,College Ave. W. at Centennial,43.521571,-80.247137,1
157,129 Janefield Ave.,43.517868,-80.245637,1
158,Janefield Ave. at Scottsdale Dr.,43.516872,-80.240944,2
159,Stone Rd. W. at Scottsdale Dr. ,43.516108,-80.238548,1
160,372 Stone Rd. W.,43.517578,-80.236634,1
161,292 Stone Rd. W.,43.519475,-80.234214,1
162,583 Edinburgh Rd. S.,43.516543,-80.229338,2
163,685 Edinburgh Rd. S.,43.515674,-80.223705,1
164,777 Edinburgh Rd. S.,43.512606,-80.218928,1
165,Edinburgh  Rd. S. at Southcreek Trail,43.510979,-80.213604,1
166,Edinburgh Rd. S. at Rickson Ave.,43.51155,-80.209314,1
167,Edinburgh Rd. S. at Carrington Dr.,43.513666,-80.206367,1
168,Gordon St. at Valley Rd.,43.516653,-80.203242,1
169,Gordon St. at Landsdown Dr.,43.518854,-80.205813,1
170,Gordon St. at Harts Lane,43.519609,-80.207455,1
171,1030 Gordon St.,43.520895,-80.210036,1
172,Gordon St. at Kortright Rd.,43.522721,-80.213719,1
173,Gordon St. at Hands Dr.,43.524266,-80.216865,1
174,Gordon St. at Monticello Cres.,43.525832,-80.221814,1
175,University Centre,43.529524,-80.224506,1
200,Guelph Central Station,43.54586918,-80.24521697,1
201,Wellington St. at KFC,43.54227848,-80.24397492,1
202,Gordon St. at Water St.,43.53830212,-80.24137816,1
203,Gordon St. at Forbes Ave.,43.53714454,-80.23977796,1
204,Gordon St. at Dean Ave.,43.53404471,-80.2354543,1
205,Gordon St. at College Ave.,43.53148424,-80.23187983,1
206,University Centre Depart,43.52998051,-80.22505414,1
207,Stone Rd. W. at Edinburgh Rd. S.,43.52036554,-80.23335318,1
208,Stone Rd. W. at Stone Rd Mall,43.51749477,-80.2372089,1
209,659 Wellington St. W. ,43.52282634,-80.26765837,1
210,Fife Rd. at Wellington St. W.,43.51890111,-80.26887011,1
211,Fife Rd. at Gateway Dr.,43.51565824,-80.27323752,1
212,Fife Rd. at Deerfield Pl.,43.51392059,-80.27559786,1
213,Elmira Rd. at West Acres Dr.,43.51624786,-80.27862856,1
214,254 Elmira Rd.,43.51897202,-80.28211234,1
215,Elmira Rd. at Stephanie Dr.,43.52110476,-80.28735569,1
216,Elmira Rd. at Zehrs Depart,43.52212001,-80.28976881,1
217,Elmira Rd. at West End Community Centre,43.52371059,-80.29372413,2
218,Willow Rd. at Flaherty Dr.,43.52734427,-80.29684473,1
219,Imperial Rd. N. at Willow Rd.,43.52880279,-80.29203002,2
220,Imperial Rd. N. at Dunhill Cres.,43.53171624,-80.29415235,2
221,Imperial Rd. N. at Westwood Rd.,43.53499964,-80.29467658,2
222,Imperial Rd. N. at Speedvale Ave. W.,43.53698496,-80.29654347,2
223,ARC Industries Depart,43.54012509,-80.29423134,2
224,Royal Rd. at Massey Rd. (Guelph Tool),43.54281107,-80.29796366,2
225,Massey Rd. at Imperial Rd.,43.54094579,-80.3017213,2
226,Imperial Rd. N. at Woodlawn Rd. W.,43.54359439,-80.30570484,2
227,Woodlawn Rd. W. at Royal Rd.,43.54594061,-80.30346622,2
228,Woodlawn Rd. W. at Regal Rd.,43.54881166,-80.29952123,2
229,Woodlawn Rd. W. at Silvercreek Pkwy N,43.55192134,-80.29534182,2
230,Woodlawn Rd. W. at Dawson Rd.,43.5561003,-80.28966928,2
231,Woodlawn Rd. W. at Edinburgh Rd. N.,43.55856547,-80.28622387,2
232,Woodlawn Rd. W. at Nicklin Rd.,43.56040262,-80.28361099,2
233,Woodlawn at Wal-Mart,43.56435923,-80.27812212,2
234,Woolwich St. at Marilyn Dr.,43.56209742,-80.27350158,2
235,Woolwich St. at Evergreen,43.56003659,-80.27067847,2
236,Woolwich St. at Mac Ave.,43.55682964,-80.26627541,2
237,Woolwich St. at Tiffany St.,43.55250892,-80.26027596,2
238,Woolwich St. at London Rd.,43.54996503,-80.25682826,2
239,160 Woolwich St.,43.54799724,-80.25153955,2
240,Wyndham at IF Shoe Store,43.54556449,-80.24899183,2
241,Guelph Central Station,43.54518,-80.24605,2
250,Guelph Central Station,43.54585854,-80.24540669,2
251,Wyndham St. at Bank of Nova Scotia,43.5463134,-80.24935893,1
252,Woolwich St. at Cardigan St.,43.54827181,-80.25193855,2
253,Woolwich St. at Norwich St.,43.54878188,-80.25496041,2
254,Woolwich St. at London Rd.,43.55012273,-80.25667532,2
255,Woolwich St. at Kerr St. ,43.55185622,-80.25911065,2
256,Woolwich St. at Powell St.,43.55313981,-80.26082839,2
257,Woolwich St. at Earl St.,43.55595288,-80.26475949,2
258,Woolwich St. at Speedvale Ave. ,43.55806489,-80.26762378,2
259,Woolwich St. at Evergreen,43.56018289,-80.2705642,2
260,Woolwich St. at Marilyn Dr.,43.56250568,-80.273732,2
261,Woodlawn at Wal-Mart,43.56374361,-80.27933394,2
262,Woodlawn Rd. W. at Nicklin Rd.,43.56108172,-80.28302241,2
263,Woodlawn Rd. W. at Edinburgh Rd. N.,43.55851558,-80.28662941,2
264,Woodlawn Rd. W. at Dawson Rd.,43.5568369,-80.28894939,2
265,Woodlawn Rd. W. at Arrow Rd.,43.55406768,-80.29279422,2
266,Woodlawn Rd. W. at Silvercreek Pkwy. N.,43.55169782,-80.29604614,2
267,Woodlawn Rd. W. at Regal Rd.,43.54873901,-80.30004244,2
268,Woodlawn Rd. W. at Royal Rd.,43.54640382,-80.30324809,2
269,Imperial Rd. N. at Woodlawn Rd. W.,43.543505,-80.3058614,2
270,Massey Rd. at Imperial Rd. N.,43.54086203,-80.301568,2
271,Royal Rd. at Massey Rd.,43.54288425,-80.29842034,2
272,Royal at ARC Industries,43.53993893,-80.29428877,2
273,Imperial Rd. N. at Speedvale Ave. W.,43.53662079,-80.29633052,2
274,Imperial Rd. N. at Thornhill Dr.,43.53418587,-80.29473351,2
275,Imperial Rd. N. at Kipling Ave.,43.53080985,-80.29421426,2
276,Imperial Rd. N. at Willow Rd. ,43.52870212,-80.29221757,2
277,Willow Rd. at Flaherty Dr. ,43.5276593,-80.29653708,1
278,Elmira Rd. at West End Community Centre,43.5235597,-80.29394825,2
279,Elmira Rd.at Paisley Depart,43.52174703,-80.28952016,1
280,Elmira Rd. at Fresh Meadow Way,43.51968716,-80.28433403,2
281,Elmira Rd. at Rochelle Dr.,43.51789991,-80.28062098,1
282,Fife Rd. at Elmira Rd.,43.51391926,-80.27530195,2
283,Fife Rd. at Gateway Dr.,43.51543824,-80.27322278,2
284,26 Fife Rd. at Coop,43.51777462,-80.27005621,1
285,Wellington St. W. at Wastewater Treatment Plant,43.52286522,-80.26725444,1
286,Stone Rd. W. at Scottsdale Dr. ,43.51534817,-80.23966684,2
287,372 Stone Rd. W.,43.51759228,-80.23664599,2
288,292 Stone Rd. W.,43.51946308,-80.23417104,2
289,Stone Rd. opposite Target,43.52163401,-80.2312634,2
290,95 Stone Rd. W.,43.52467,-80.22718783,2
291,University Centre Depart,43.53019248,-80.2252942,2
292,Gordon St. at Vet College,43.53095026,-80.23076282,2
293,Gordon St. at Macdonald Stewart Art Centre,43.5328315,-80.23327307,2
294,Gordon St. at Dormie Lane,43.53689754,-80.2391756,2
295,Gordon St. at Water St.,43.53814637,-80.24089812,2
296,Wellington St. at Wellington Plaza ,43.54171837,-80.24395024,1
297,Wyndham St. at Fountain St.,43.54337642,-80.24517812,1
298,Guelph Central Station,43.545892,-80.24902,2
300,Guelph Central Station,43.54588963,-80.24523782,1
301,Wyndham St. at Bank of Nova Scotia,43.54632194,-80.24935963,1
302,Woolwich St. at Cardigan St.,43.54827406,-80.25192178,1
303,Suffolk St. at Norfolk St. ,43.54735915,-80.25498238,1
304,Suffolk St. at Dublin St.,43.54641957,-80.25678685,1
305,Suffolk St. at Glasgow St.,43.54555216,-80.25846998,1
306,Yorkshire St. N. at London Rd. W.,43.54644009,-80.26173657,2
307,Westmount Rd. at Lourdes ,43.54814269,-80.2669521,1
308,Westmount Rd. at Division St.,43.549901,-80.26931808,1
309,St. Joseph's Health Centre,43.55129818,-80.27132152,1
310,Westmount Rd. at Speedvale Ave. W.,43.55345503,-80.27424972,1
311,Kathleen St. at June Ave.,43.55627418,-80.27335357,1
312,Bailey Ave. at Nicklin Rd.,43.55677486,-80.27715712,1
313,Nicklin Rd. at Woodlawn Rd. Depart,43.56063432,-80.28300115,2
314,Woodlawn at Wal-Mart,43.56436112,-80.27811853,1
315,21 Woodlawn Rd. E. ,43.56641354,-80.2754386,1
316,Woodlawn Rd. E. at opposite Seniors Centre,43.56931004,-80.27141825,1
317,Woodlawn Rd. E. at Fairway Lane,43.57203178,-80.26766718,1
318,Woodlawn Rd. E. at Golfview Dr.,43.57398601,-80.26494105,1
319,Inverness Dr. at Glenbrook Dr.,43.57703702,-80.2636908,1
320,Inverness Dr. at Simmonds Dr.,43.57921301,-80.26674597,2
321,Victoria Rd. N. at Trillium Waldorf,43.58037659,-80.26381678,2
322,Victoria Rd. N. at Woodlawn Rd. E.,43.57805161,-80.260512,1
323,Victoria Rd. N . at Delta St. ,43.57404538,-80.25495464,1
324,Victoria Rd. N. at Speedvale Ave. E.,43.5705917,-80.25019862,2
325,Victoria Rd. N. at Eramosa Rd.,43.56917506,-80.24829333,1
326,Victoria Rd. N. at St. Paul's Church,43.56648791,-80.24447481,1
327,Eastview Rd. at Glenburnie Dr. Depart,43.56535129,-80.24126881,2
328,Eastview Rd. at Mountford Dr.,43.56738132,-80.23846239,1
329,Eastview Rd. at Auden Rd.,43.56950615,-80.2355681,1
330,Eastview Rd. at Summit Ridge Dr.,43.57254913,-80.23143094,1
331,Watson Pkwy N. at Grange Rd.,43.57324163,-80.21767526,1
332,Watson Pkwy N. at Fleming Rd.,43.57048738,-80.21385504,2
333,Watson Pkwy N. at Library,43.56672945,-80.21174647,1
334,York Rd. At Watson Pkwy N.,43.56151508,-80.21083086,2
335,York Rd. at Yorkhaven Pl.,43.55847904,-80.21503668,2
336,York Rd. at Royal City Jaycees Park,43.55703153,-80.2170014,2
337,York Rd. at Beaumont Cres.,43.55493318,-80.219906,2
338,Victoria Rd. at York Rd. ,43.55165761,-80.22363281,2
339,Stone Rd. E. at Victoria Rd. S.,43.5393639,-80.20797407,2
340,Stone Rd. E. at Arbour Medical Centre,43.53376618,-80.21534578,2
341,University Centre,43.53009962,-80.22521736,1
342,Gordon St. at Vet College,43.53095206,-80.23076037,1
343,Gordon St. at Macdonald Stewart Art Centre,43.5328315,-80.23327307,1
344,Gordon St. at Dormie Lane,43.53690628,-80.23917203,1
345,Gordon St. at Water St.,43.53814273,-80.24089687,1
347,Wellington St. at Wellington Plaza ,43.54191368,-80.24387314,1
349,Guelph Central Station,43.54618511,-80.24518746,1
350,Guelph Central Station,43.54518,-80.24605,1
351,Gordon St. at Nottingham St.,43.54181645,-80.24807426,1
352,Gordon St. at Wellington St.,43.5407945,-80.24521582,1
353,Gordon St. at Water St.,43.53829806,-80.24138341,1
354,Gordon St. at Forbes Ave.,43.5371424,-80.23977642,1
355,Gordon St. at Dean Ave.,43.53405552,-80.23546094,1
356,Gordon St. at College Ave.,43.53149062,-80.23188958,1
357,University Centre,43.52986705,-80.22490356,1
358,Stone Rd. E. at Arbour Medical Centre,43.53308588,-80.2159721,2
359,Victoria Rd. S. at Stone Rd. E.,43.54040329,-80.2076034,2
360,535 York Rd. at Tim Hortons,43.55224273,-80.22329258,1
361,York Rd. at Beaumont Cres.,43.55465823,-80.2198908,2
362,728 York Rd.,43.55686926,-80.21685914,2
363,785 York Rd.,43.55871227,-80.21445106,2
364,York Rd. At Watson Pkwy. N.,43.56153735,-80.21054585,2
365,Watson Pkwy. N. opposite Library,43.56659343,-80.21149822,2
366,Watson Pkwy. N. at Fleming Rd.,43.57032628,-80.21329903,1
367,Watson Pkwy. N. at Grange Rd.,43.57396404,-80.21836101,1
368,Watson Pkwy. N. at  Eastview Rd.,43.57672134,-80.22218691,1
369,Eastview Rd. at Summit Ridge Dr.,43.57266797,-80.23156517,2
370,Eastview Rd. at Starwood Dr.,43.57030257,-80.23481553,1
371,Eastview Rd. at Mountford Dr.,43.56752915,-80.23857616,2
372,Eastview Rd. at Victoria Rd.,43.56509445,-80.24190758,2
373,211 Victoria Rd. N.,43.56695627,-80.24477988,1
374,Victoria Rd. N. at Eramosa Rd.,43.56967223,-80.24861837,1
375,Victoria Rd. N. at Speedvale Ave. E.,43.57198644,-80.25179437,1
376,Victoria Rd. N. at Brant Ave.,43.57534328,-80.25639104,1
377,Victoria Rd. N. at Woodlawn Rd. E.,43.57833091,-80.26053732,1
